*/////////////////////////////////////////////
* DIP
*/////////////////////////////////////////////
*型式		注文番号	分類	FP種類	ピン数	ピン間	列間	ピン直径
NJD7002VA3	I-08947		D	SOP	8	0.65	5.9	0.22		0.5
OPA2353UA	I-02330		IC	SOP	8	1.27	7.3	0.5		0.5
NJM2746E	I-09495		IC	SOP	8	1.27	5.2	0.4		0.8
MCP3208-BI_SL	I-05813		IC	SOP	16	1.27	4.06	0.41		1.04
AD8616ARMZ	I-04570		IC	SOP	8	1.27	5.95	0.51		0.25
S11059-02DT	I-06793		SENS	SOP	10	0.8	4.0	0.4		1.0
CY7C1041DV33-10ZSXI	I-02165	IC	SOP	44	0.80	11.341	0.4		0.597
TD62083AF	I-06227		TR	SOP	18	0.4	9.6	0.4		0.7
uPA2753GR	I-00983		FET	SOP	8	1.27	5.5	0.4		0.5
HG-166A-2U	I-09362		SENS	SOP	4	0.9	2.0	0.3		0.5
ADM3202ARU	I-02557		IC	SOP	16	0.65	5.8	0.6		0.7
IRF7451TRPBF	I-06576		FET	SOP	8	1.27	5.2	0.46		1.27
SP0103NC3-3	I-00602		SENS	SOP	4	2.65	3.85	1.6		1.8
MCP3208-BI_SL	I-05813		IC	SOP	16	1.27	5.2	0.40		0.8
MCP3204-BI_SL	I-05812		IC	SOP	14	1.27	5.2	0.40		0.8
MCP3425A0T-E_CH	I-07638		IC	SOP	6	0.95	2.35	0.30		0.35
LTC2462CMS	I-07302		IC	SOP	12	0.65	4.37	0.3		0.53
NJM2732M	I-06018		IC	SOP	8	1.27	6.3	0.35		0.5
AD8506ARMZ	I-04568		IC	SOP	8	0.65	4.30	0.38		0.60
NJM8202RB1	I-04724		IC	SOP	8	0.65	3.45	0.2		0.55
AD822ARZ	I-06518		IC	SOP	8	1.27	5.44	0.48		0.76
LMC662AIM	I-06584		IC	SOP	8	1.27	4.928	0.508		1.270
MUSES8920E	I-05734		IC	SOP	8	1.27	5.2	0.4		0.8
NJM8502R	I-07102		IC 	SOP	8	0.65	3.45	0.2		0.55
MUSES8832E	I-08413		IC	SOP	8	1.27	5.2	0.4		0.8
AD8532AR	I-09555		IC	SOP	8	1.27	4.93	0.51		1.27
LM358MX		I-01904		IC	SOP	8	1.27	5.5	0.41		0.50
NJM4580MD	I-02923		IC	SOP	8	1.27	6.75	0.35		0.15
TA75064F	I-00171		IC	SOP	8	1.27	5.715	0.4		0.525
NJM8901E	I-08175		IC	SOP	8	1.27	5.2	0.4		0.8
LMH6702MAX	I-06520		IC	SOP	8	1.270	4.928	0.508		1.270
NJU7034M_TE1	I-06728		IC	SOP	14	1.27	6.3	0.35		0.15
AD8656ARMZ	I-04571		IC	SOP	8	1.27	4.93	0.51		1.27
LM6365MX	I-06377		IC 	SOP	8	1.270	5.792	0.508		1.270
LMP7702MAX	I-09729		IC	SOP	8	1.270	4.93	0.51		1.27
MUSES8820E	I-05417		IC	SOP	8	1.27	5.2	0.4		0.8
NJM4585M	I-08422		IC	SOP	8	1.27	6.75	0.35		0.15	
NJM4558MD	I-09125		IC	SOP	8	1.27	6.75	0.35		0.15	
NJM8080G	I-07101		IC	SOP	8	1.27	5.2	0.4		0.8
NJM2747V	I-04696		IC 	SOP	14	0.65	5.9	0.22		0.5
AD822ARMZ	I-04569		IC	SOP	8	1.27	5.44	0.48		0.76
NJM4582VA3	I-09786		IC 	SOP	8	0.65	5.9	0.22		0.15
NJM4556AM	I-02590		IC 	SOP	8	1.27	6.75	0.35		0.15
NJM8068G	I-09496		IC	SOP	8	1.27	5.175	0.42		0.825
NJM4580CG	I-07100		IC	SOP	8	1.27	5.2	0.4		0.8
ADA4528-2ARMZ	I-07635		IC	SOP	8	0.65	4.35	0.40		0.23
LMV324		I-02479		IC	SOP	8	0.65	4.37	0.3		0.53
NJM4565M	I-04697		IC	SOP	8	0.65	3.45	0.2		0.55
NJM4565VA3	I-04698		IC 	SOP	8	0.65	3.45	0.2		0.55
NJM2712RB1-TE1	I-04727		IC 	SOP	8	0.65	3.45	0.2		0.55
NJM8065RB-1	I-08289		IC 	SOP	8	0.65	3.45	0.2		0.55
NJM8065G	I-08232		IC	SOP	8	1.27	5.20	0.4		0.8
PCA9547D	I-09098		IC	SOP	28	0.65	5.85	0.30		0.75
SP3243ECA	I-01147		IC	SOP	28	0.65	7.15	0.38		0.75
SP5301CY_TR	I-03603		IC	SOP	14	1.27	6.038	0.508		1.270


*/////////////////////////////////////////////
* SIL (モータドライバ等放熱板つきは、SILH)
*/////////////////////////////////////////////
*型式		注文番号	分類	FP種類	ピン数	ピン間	(予約)	ピン直径
*----------------------------------------------------------------------------------
TA7291P		I-02001		IC	SILH	10	2.54	0	0.5
TA8428K		I-02808		IC	SILH	7	2.54	0	0.5
TB6643KQ	I-07688		IC	SILH	7	2.54	0	0.5
TA7267BP	I-02017		IC	SILH	7	2.54	0	0.5
TA7368PL	I-06662		IC	SIL	9	2.54	0	0.5
GBU4J		I-00129		D	SIL	4	5.33	0	1.27
STA401A		I-08023		IC	SIL	10	2.54	0	0.5
KBJ410		I-07698		D	SILH	4	7.7	0	1.1
SLA5064		I-08004		IC	SILH	11	2.54	0	0.85
D15XBS6		I-04651		D	SILH	4	7.5	0	1.0
FT5754M		I-00182		TR	SILH	11	2.54	0	0.85
TA8030S		I-09600		IC	SIL	7	2.54	0	0.5
NJM4565LD	I-09127		IC	SIL	8	2.54	0	0.5


*/////////////////////////////////////////////
* QFP
*/////////////////////////////////////////////
*型式		注文番号	分類	FP種類	横1辺ピン数	縦1辺ピン数	ピン上矩形横長さ	ピン上矩形縦長さ	ピン間距離	ピン幅	ピン長さ	裏面ヒートシンク辺長さ(あれば)
*---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
RTL8019AS	I-00179		IC	QFP	20		30		17.60			23.60			0.65		0.30	1.20
AX88796BLF	I-01784		IC 	QFP	16		16		8.4			8.4			0.40		0.18	0.60
FT232HL		I-05419		IC	QFP	12		12		8.4			8.4			0.5		0.22	0.6
FT2232D		I-03479		IC	QFP	12		12		8.4			8.4			0.5		0.22	0.6
SL811HST	I-00519		IC	QFP	12		12		8.4			8.4			0.5		0.22	0.6
FT232RQ		I-04365		IC	QFP	8		8		4.5			4.5			0.5		0.3	0.5		3.2
FT245BL		I-05669		IC	QFP	8		8		9			9			0.8		0.35	0.6
FT2232L		I-01602		IC	QFP	12		12		8.4			8.4			0.5		0.22	0.6
TC6381AF	I-03481		IC	QFP	20		30		23.0			17.0			0.65		0.30	0.8
SP322CF		I-00210		IC	QFP	11		11		11.4			11.4			0.80		0.37	0.45
FT245AM_FT8U245_AM	I-01166	IC	QFP	8		8		8.4			8.4			0.8		0.35	0.6



*/////////////////////////////////////////////
* アキシャルリード部品(抵抗/ダイオードなど)
*/////////////////////////////////////////////
*型式		注文番号	分類	FP種類	部品長さ	部品直径	ピン直径
*------------------------------------------------------------------------------------------
1S4		I-00127		D	AXIAL	3.5		2.6		0.64
E-153		I-00186		D	AXIAL	4.2		2.0		0.6
SBM1045VSS	I-06168		D	AXIAL	9.5		5.3		1.3
1S3		I-01707		D	AXIAL	3.5		2.6		0.64
1S10		I-00126		D	AXIAL	3.5		2.6		0.64
E-103		I-00185		D	AXIAL	4.2		2.0		0.6
E-183		I-02876		D	AXIAL	4.2		2.0		0.6
UF2010		I-00124		D	AXIAL	7.6		3.6		0.86
10A10_B0_10001	I-07759		D	AXIAL	9.1		9.1		1.3
E-102		I-00665		D	AXIAL	4.2		2.0		0.6
E-562		I-00184		D	AXIAL	4.2		2.0		0.6
GDZJ6.2B	I-07494		D	AXIAL	2.9		2.1		0.45
1N4007-B	I-08332		D	AXIAL	5.21		2.72		0.864
SB340LS		I-07788		D	AXIAL	7.6		3.6		0.86
ERA81-004	I-07235		D	AXIAL	5.0		3.0		0.6
SB240LES	I-07787		D	AXIAL	5.2		2.7		0.86
